pitch_St,pitch_amp,thrust_loss
0.44,0.5,0.997140048664768
0.44,1,0.995985517682782
0.44,1.5,0.994899484170864
0.44,2,0.996296794693937
0.44,2.5,0.998908857174431
0.44,3,0.994772565005746
0.44,3.5,0.991017186580406
0.44,4,0.991675019121086
0.44,4.5,0.991938832437225
0.44,5,0.989513778930157
0.44,5.5,0.98521674744443
0.45,0.5,0.997075814091005
0.45,1,0.995978207583729
0.45,1.5,0.99503379639394
0.45,2,0.996515444333669
0.45,2.5,0.998965297900221
0.45,3,0.995036952672309
0.45,3.5,0.991365865643189
0.45,4,0.991945920610354
0.45,4.5,0.992268409332914
0.45,5,0.989988919519982
0.45,5.5,0.985832144402347
0.46,0.5,0.997013302665518
0.46,1,0.995976122318227
0.46,1.5,0.995170346556447
0.46,2,0.996716215608583
0.46,2.5,0.998999067701226
0.46,3,0.995285114868918
0.46,3.5,0.991714899672627
0.46,4,0.992212089599557
0.46,4.5,0.992576430480591
0.46,5,0.990433997182111
0.46,5.5,0.986416125939032
0.47,0.5,0.996952672436188
0.47,1,0.995978740072966
0.47,1.5,0.995307130790277
0.47,2,0.996898314420803
0.47,2.5,0.999014512288354
0.47,3,0.995516768883884
0.47,3.5,0.992061105432721
0.47,4,0.992473710016256
0.47,4.5,0.992864891847675
0.47,5,0.990850809842059
0.47,5.5,0.986969883128493
0.48,0.5,0.99689402042059
0.48,1,0.995985474347345
0.48,1.5,0.99544234525418
0.48,2,0.997061630109772
0.48,2.5,0.999015335377137
0.48,3,0.995732024607915
0.48,3.5,0.992401782361741
0.48,4,0.992730682170405
0.48,4.5,0.993135567986787
0.48,5,0.991241074967988
0.48,5.5,0.987494609381897
0.49,0.5,0.996837388108807
0.49,1,0.995995697065169
0.49,1.5,0.995574410815848
0.49,2,0.997206548574484
0.49,2.5,0.999004718533391
0.49,3,0.995931275466516
0.49,3.5,0.992734677871916
0.49,4,0.992982710348716
0.49,4.5,0.993390021047045
0.49,5,0.99160642472754
0.49,5.5,0.987991491599412
0.5,0.5,0.996782767584834
0.5,1,0.996008759119735
0.5,1.5,0.995701981950641
0.5,2,0.997333794008388
0.5,2.5,0.998985419612459
0.5,3,0.996115104053398
0.5,3.5,0.993057948397697
0.5,4,0.993229373439613
0.5,4.5,0.993629614257898
0.5,5,0.991948402847393
0.5,5.5,0.988461702729656
0.51,0.5,0.996730107966074
0.51,1,0.99602400813438
0.51,1.5,0.995823943600997
0.51,2,0.99744430120929
0.51,2.5,0.998960079739389
0.51,3,0.996284205134821
0.51,3.5,0.993370118300974
0.51,4,0.993470180240243
0.51,4.5,0.993855528262846
0.51,5,0.99226846304379
0.51,5.5,0.988906395569757
0.52,0.5,0.996679321915838
0.52,1,0.996040803368452
0.52,1.5,0.99593939948089
0.52,2,0.997539117377785
0.52,2.5,0.998930257359388
0.52,3,0.996439326187464
0.52,3.5,0.993670038376259
0.52,4,0.993704611624306
0.52,4.5,0.994068778991733
0.52,5,0.992567968861949
0.52,5.5,0.989326697663649
0.53,0.5,0.996630292034194
0.53,1,0.996058527822569
0.53,1.5,0.99604765481234
0.53,2,0.997619330430545
0.53,2.5,0.998896732495032
0.53,3,0.996581224120533
0.53,3.5,0.993956845329618
0.53,4,0.993932151818697
0.53,4.5,0.994270236051099
0.53,5,0.992848194742997
0.53,5.5,0.989723707174877
0.54,0.5,0.996582876976967
0.54,1,0.99607659769405
0.54,1.5,0.996148195903559
0.54,2,0.997686019742504
0.54,2.5,0.998860106514269
0.54,3,0.996710635992605
