pitch_St,pitch_amp,power_loss
0.66,5,0.986319988762042
0.66,5.5,0.983780047887981
0.67,0.5,1.00171864077113
0.67,1,1.00101729121915
0.67,1.5,1.00011642823651
0.67,2,0.998951832484835
0.67,2.5,0.997476337324367
0.67,3,0.995682800780686
0.67,3.5,0.993613026129028
0.67,4,0.991343340550499
0.67,4.5,0.988953733441286
0.67,5,0.986500620885095
0.67,5.5,0.984008787850666
0.68,0.5,1.00159486876742
0.68,1,1.00089203716988
0.68,1.5,0.999992527910058
0.68,2,0.998837956415362
0.68,2.5,0.997386607181729
0.68,3,0.995633194011943
0.68,3.5,0.993616067786447
0.68,4,0.991404382874881
0.68,4.5,0.989071300876963
0.68,5,0.986670053107491
0.68,5.5,0.98422614601708
0.69,0.5,1.00146594871899
0.69,1,1.00076197508741
0.69,1.5,0.999864541601365
0.69,2,0.998720602339903
0.69,2.5,0.997293259463472
0.69,3,0.995578762391275
0.69,3.5,0.993612313008361
0.69,4,0.991456647279562
0.69,4.5,0.989178731963212
0.69,5,0.986828712904002
0.69,5.5,0.984432471585041
0.7,0.5,1.00133228584775
0.7,1,1.00062751794939
0.7,1.5,0.999732814031243
0.7,2,0.998600012260259
0.7,2.5,0.99719648188454
0.7,3,0.995519743670233
0.7,3.5,0.993602124711227
0.7,4,0.991500602052913
0.7,4.5,0.989276511810519
0.7,5,0.986977027027244
0.7,5.5,0.984628120599551
0.71,0.5,1.00119426900908
0.71,1,1.00048905529656
0.71,1.5,0.999597669860047
0.71,2,0.998476420094724
0.71,2.5,0.997096463848141
0.71,3,0.995456375406313
0.71,3.5,0.993585854703543
0.71,4,0.99153669743395
0.71,4.5,0.989365112086152
0.71,5,0.987115419586541
0.71,5.5,0.984813453715026
0.72,0.5,1.00105227120981
0.72,1,1.00034695555987
0.72,1.5,0.99945941649878
0.72,2,0.998350053247673
0.72,2.5,0.996993396528105
0.72,3,0.995388894975398
0.72,3.5,0.993563844821594
0.72,4,0.991565367022817
0.72,4.5,0.989444991073728
0.72,5,0.987244310504942
0.72,5.5,0.984988834222593
0.73,0.5,1.00090665024277
0.73,1,1.00020156818091
0.73,1.5,0.999318346519438
0.73,2,0.998221133893807
0.73,2.5,0.996887472889533
0.73,3,0.995317539561637
0.73,3.5,0.993536427903112
0.73,4,0.991587029062925
0.73,4.5,0.989516593862375
0.73,5,0.987364114286537
0.73,5.5,0.985154626320018
0.74,0.5,1.00075774938624
0.74,1,1.00005322552874
0.74,1.5,0.9991747397216
0.74,2,0.998089880029746
0.74,2.5,0.996778887666737
0.74,3,0.995242546134764
0.74,3.5,0.993503928627063
0.74,4,0.99160208759975
0.74,4.5,0.989580352619516
0.74,5,0.987475239035472
0.74,5.5,0.985311193599707
0.75,0.5,1.00060589812785
0.75,1,0.999902244620091
0.75,1.5,0.999028864903529
0.75,2,0.997956506335872
0.75,2.5,0.996667837312445
0.75,3,0.995164151422094
0.75,3.5,0.993466664241321
0.75,4,0.991610933521962
0.75,4.5,0.989636686912139
0.75,5,0.987578085676749
0.75,5.5,0.985458897729975
0.76,0.5,1.0004514128819
0.76,1,0.999748928651556
0.76,1.5,0.998880981378476
0.76,2,0.997821224883179
0.76,2.5,0.996554519929352
0.76,3,0.995082591879588
0.76,3.5,0.993424945195476
0.76,4,0.991613945490894
0.76,4.5,0.989686004048482
0.76,5,0.987673047336131
0.76,5.5,0.985598097305237
0.77,0.5,1.0002945976759
0.77,1,0.999593568352615
0.77,1.5,0.998731340270596
0.77,2,0.997684245713524
0.77,2.5,0.996439135191886
0.77,3,0.994998103665349
0.77,3.5,0.993379075691602
0.77,4,0.991611490763107
0.77,4.5,0.989728699418141
0.77,5,0.987760508842935
0.77,5.5,0.985729146842405
0.78,0.5,1.00013574478734
0.78,1,0.999436443168488
0.78,1.5,0.998580185618796
0.78,2,0.997545777316452
0.78,2.5,0.996321884264119
0.78,3,0.994910922617343
0.78,3.5,0.993329354162836
0.78,4,0.991603925910076
0.78,4.5,0.989765156812753
0.78,5,0.987840846325307
0.78,5.5,0.985852395901773
0.79,0.5,0.999975135315872
0.79,1,0.999277822279912
0.79,1.5,0.998427755311871
0.79,2,0.997406027021335
0.79,2.5,0.996202969718309
0.79,3,0.994821284236369
0.79,3.5,0.993276073686522
0.79,4,0.99159159743716
0.79,4.5,0.989795748712442
0.79,5,0.987914426871648
0.79,5.5,0.985968188313567
0.8,0.5,0.999813039678389
0.8,1,0.999117965465746
0.8,1.5,0.998274281873479
0.8,2,0.997265201319885
0.8,2.5,0.996082595457101
0.8,3,0.994729423674541
0.8,3.5,0.993219522335966
0.8,4,0.9915748423021
0.8,4.5,0.98982083652535
0.8,5,0.987981608236758
0.8,5.5,0.986076861492535
0.81,0.5,0.999649718017307
0.81,1,0.998957123811683
0.81,1.5,0.998119993110675
0.81,2,0.997123506131161
0.81,2.5,0.995960966641694
0.81,3,0.99463557572898
0.81,3.5,0.993159983472081
0.81,4,0.991553988331369
0.81,4.5,0.98984077076931
0.81,5,0.988042738574353
0.81,5.5,0.986178745825772
0.82,0.5,0.999485420513173
0.82,1,0.998795540265918
0.82,1.5,0.99796511263515
0.82,2,0.996981147018499
0.82,2.5,0.995838289627442
0.82,3,0.994539974839759
0.82,3.5,0.993097735973261
0.82,4,0.991529354529759
