,WS_1,WS_50,WS_100,WS_150,WS_200,WD_1,WD_50,WD_100,WD_150,WD_200
2012-12-19 06:00:00,3.2437405535661976,3.2118498099923034,3.2180279520539097,3.358806946424392,3.2015137602725097,123.7193687031061,123.58781831740535,123.45099582873884,128.8822943237425,130.47699751316972
2012-12-19 07:00:00,3.213147471971403,3.708588316710358,3.8159118280560422,4.143605549906397,4.008493284944069,126.71876915482902,129.1852826969161,131.70408481202873,138.43695239394447,138.19343229214064
2012-12-19 08:00:00,3.318347654905589,4.387729711974288,4.626988616257374,5.1758347889982,5.061978353941197,130.02420835026496,133.0937615578306,136.22238412098912,142.12928935118833,141.32456036565696
2012-12-19 09:00:00,3.9966570096036413,4.981058535663735,5.197025065609925,6.165910180684078,6.083336499655686,136.21310169552254,138.1909772611826,140.20895098384887,146.0922036031327,145.53061243601036
2012-12-19 10:00:00,4.098634577255362,4.496090007985987,4.587693769691827,5.338384275717282,5.471627297807286,145.16851262470604,147.66411715553147,150.21797287462928,157.2494283041996,157.39418686122775
2012-12-19 11:00:00,4.823828948600652,5.405828650481334,5.535356376377935,5.822678933016148,5.918682579412126,134.7701431004042,136.42220878461578,138.10717804772267,140.81881173500426,143.12329828848314
2012-12-19 12:00:00,5.410478658085409,5.721494232789534,5.799261120778263,5.755831290953436,5.809539813620398,131.7420310971134,132.2718529202005,132.81500057515888,132.7339492573967,136.39426754877283
2012-12-19 13:00:00,5.3297232265571175,6.319159010499871,6.535567556235385,6.432692941740766,6.3630446823617595,128.27648213840075,128.78146922942398,129.29967566741826,129.5746696657367,131.6718395323598
2012-12-19 14:00:00,5.904255028152669,7.242055736695151,7.535261901307366,7.571112306731311,7.369346941064035,124.83230717949206,125.3102611643407,125.7945805365983,125.74455691151834,126.45502919169662
2012-12-19 15:00:00,6.25667458058816,7.717760002357308,8.038574805572171,8.42446518819912,8.178714428131425,120.92207254887533,121.2925767520508,121.66947417316854,121.22059859888932,122.2547625602665
2012-12-19 16:00:00,6.269341428676604,8.024993558823146,8.414540188276911,9.057055956364973,8.79955551954864,117.44381918317934,117.92323220692033,118.41311905457566,118.65980394704995,119.92026456395014
2012-12-19 17:00:00,6.519475412494773,8.523027407714467,8.967142267393465,9.718953994758161,9.568636632983024,116.33061770985266,116.83838453903542,117.3591330206603,117.96392364313131,119.70451969425481
2012-12-19 18:00:00,7.348823612862949,9.382964970372198,9.830900000914426,10.273411921758619,10.271385673012396,121.91758535224277,122.58486053432581,123.27392119996112,124.00802117060307,124.85138812111525
2012-12-19 19:00:00,7.5053025709843935,9.536558192710876,9.984388795225806,10.353873503449234,10.38052095354775,127.16988416116372,127.70881632742055,128.26404727728925,129.0268615112855,129.42384054732452
2012-12-19 20:00:00,7.756104287954946,9.963089324370099,10.451537021488278,10.925481253891494,10.950895603019644,128.03769020452222,128.43865731995828,128.8468454243586,129.74796243220993,130.525286129348
2012-12-19 21:00:00,7.889361518431539,10.174781185254322,10.681086927476597,11.135411351265454,11.159349146348395,129.85694428374538,130.23378054699472,130.61637534713066,131.32693288286833,132.20473598382165
2012-12-19 22:00:00,7.6647431348992345,9.968332208210363,10.481060830717542,10.973648386627522,11.09478061802039,125.22088009952219,125.53496948521692,125.85177684300663,126.76454822957814,128.80646811673654
2012-12-19 23:00:00,7.868597252462079,10.321621843683413,10.868129026595499,11.423717710768042,11.663525748237483,123.16454061340136,123.78757778564186,124.4308954489271,125.49669106981777,127.4519821002034
2012-12-20 00:00:00,8.185446115601405,10.843740207805968,11.437020774254828,11.91251177739414,12.224178149918217,120.3528895808188,121.07719607868194,121.81360718053038,122.55930860507213,124.22619332351033
